vendor,price_per_unit
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
TandT,NA
